row Zeile
Do Tun
you Sie
know kennen
what was
If Wenn
don’t, nicht,
then dann
you’ve Sie haben
come kommen
to zu
the die
right rechts
place Ort
are sind
beginning, Anfang
a ein
was war
more mehr
of der
personal persönliche
diary Tagebuch
that dass
people Menschen
shared geteilt
and und
it es
goes geht
back zurück
1994 Ein tausend neun hundert vier und neunzig
this diese
could könnte
talk sprechen
about über
your Ihre
daily täglich
life Leben
or oder
share teilen
things Dinge
do tun
But, Aber,
saw sah
an ein
opportunity Gelegenheit
communicate kommunizieren
any jeder
information Informationen
new neue
way Weg
began begann
beautiful schön
world Welt
blogging Bloggen
What Was
is ist
A Ein
(shortening (Verkürzung
“weblog”) \"weblog\")
informational Informations -
displaying anzeigen
chronological chronologischer
order, bestellen,
with mit
latest neueste
posts Beiträge
appearing erscheinen
first erste
It Es
platform Plattform
where wo
writer Autor
even auch
group Gruppe
writers Schriftsteller
their Ihre
views Ansichten
on auf
individual individuelle
subject Thema
structure Struktur
The Die
appearance Aussehen
changed geändert
over über
time, Zeit,
nowadays heute
include gehören
different verschiedene
items Artikel
most die meisten
some einige
Here Hier
common gemeinsame
typical typische
will wird
include: gehören:
