Tun Do
Sie You
kennen know
sind are
Wenn If
Sie You
nicht, not
dann then
Sie You
haben have
kommen come
zu to
rechts right
Ort Place
Anfang At the beginning of
ein a
mehr more
der the
ein a
persönliche personal
Tagebuch Diary
dass that
Menschen People
geteilt shared
und and
es it
geht goes
zurück back
zu to
Ein A
tausend thousands of
neun nine
hundert a hundred
vier four
und and
neunzig ninety
diese this
Sie You
könnte could
sprechen speak
über about
Ihre Your
täglich daily
Leben Life
oder or
teilen share
Dinge Things
Sie You
tun do
Aber, But,
Menschen People
sah saw
ein a
Gelegenheit Opportunity
zu to
kommunizieren communicate
jeder each
Informationen Information
ein a
neue new
Weg Way
begann started
schön nice
Welt World
der the
Bloggen Blogging
ein a
der the
Ein A
(Verkürzung (Shortening
der the
ein a
oder or
anzeigen view
Informationen Information
chronologischer chronological
bestellen, order
mit with
neueste latest
Beiträge Posts
erscheinen appear
erste first
Es It
ein a
Plattform Platform
wo where
ein a
Autor Author
oder or
auch also
ein a
Gruppe Group
der the
Schriftsteller Writer
teilen share
Ihre Your
Ansichten Views
auf on
ein a
individuelle individual
Thema Topic
Struktur Structure
Aussehen Look
der the
geändert changed
über about
Zeit, Time
und and
heute today
gehören include
verschiedene different
Artikel Article
Aber, But,
meisten most
gehören include
einige some
und and
Struktur Structure
Hier Here
sind are
gemeinsame common
dass that
ein a
typische typical
wird is
gehören: include:
sterben die
sterben die
Krieg War
sterben die
War Was
tritt occurs
\\\"weblog\\\") \\\\\\\"weblog\\\\\\\")
tritt occurs
Informationen Information
sterben die
tritt occurs
also so
Sterben Die
sterben die
sterben die
